d8    f4    e0    f0    f6    e3    c7    fe    ab    10a   ff    c2    d5    d1    
92    a8    ac    97    8d    a0    90    cb    80    99    9e    73    a5    78    
b0    d6    cf    ab    c3    d4    c2    e5    9f    bd    e6    c6    a0    94    
d1    d3    ce    d3    b4    ce    b3    d2    b6    d8    ce    c7    c4    cd    
c9    a4    e8    aa    f0    b2    96    d1    5f    db    c2    b5    7f    e2    
6c    71    b5    7c    80    63    7d    a2    52    8d    80    79    8f    a1    
a0    b8    d5    d0    88    a1    bc    c8    a8    bb    c9    b8    a3    94    
119   11d   143   105   fc    10d   db    136   fb    11d   111   10a   f6    11f   
c4    e0    d8    cb    108   d6    d2    dd    a9    ee    e8    e0    c2    f0    
cd    c2    e7    d0    c5    f5    d0    fb    ac    c6    c0    da    b3    c7    
105   f8    12a   ea    f9    101   c8    117   d9    108   100   fa    d4    11a   
d3    99    a5    95    72    84    6c    a1    8a    c6    bf    85    98    9b    
